Input Sample,b_memory,b_naive,dendritic_myeloid_immature,dendritic_myeloid_mature,endothelial,eosinophil,epithelial,fibroblast,macrophage_M1,macrophage_M2,mast_cell,monocyte,neutrophil,nk_primed_IL2,nk_primed_IL2_PDGFD,nk_resting,t_CD4_memory,t_CD8_memory,t_CD8_naive,t_gamma_delta,t_helper,P-value,Pearson Correlation,RMSE
TCGA-HT-A5R7,0.10892208688893493,0.08430391833026665,0.1688908649795528,0,0.06252868677159786,0,0.1600837937952652,0.005441614471857555,0.01621465407917292,0.01148736965000352,0,0,0,0,0.08982140315259,0,0,0.11124527268673431,0.1097287098386479,0,0.07129173867040509,0.01,0.46965638759110817,0.8901042932627155
TCGA-HT-A5R9,0,0.19362415153051174,0,0,0.021073161689266786,0,0.03395120099678811,0.04277257963676123,0.036659154079187774,0,0,0,0.04524908232347905,0,0.08339169198100908,0,0.1870390171941159,0.13099383805207349,0.22524612251680684,0,0,0,0.4906167128116039,0.9060376995858013
TCGA-HT-A5RA,0,0.10053983726387432,0.08650055179086896,0,0.1229433486491131,0,0.2147440987384163,0.09206072283518149,0.038257076736156255,0,0.004151393688666345,0,0,0.0033896969150699185,0.0384577592083935,0,0.021908618898441857,0.1020218016680427,0.15383114170212567,0,0.021193951905649624,0,0.6796806429015189,0.7382995503673881
TCGA-HT-A5RB,0,0.1482725774540606,0.10253563386722539,0,0.02464790489959621,0,0.1258520253938483,0.015303604329208024,0.035013449164055646,0,0,0,0.04357717916703391,0,0.056895941918636665,0,0,0.11870207350886668,0.3291996102974686,0,0,0,0.5248041025908342,0.8629793570457448
TCGA-HT-A5RC,0,0.13394991849170948,0.36952793792700034,0,0.06903842709222129,0,0.11900401732898831,0.0001,0,0.005957050036067154,0,0.028158474352291834,0,0.0018581305399481707,0,0,0.06845376176383093,0,0.11728369631250757,0.08665900308138401,0,0,0.555110961194077,0.8296970300407499
TCGA-HT-A614,0,0.0838385549923976,0.06670869569282764,0,0.0321267708034817,0,0.0907885913779262,0.039863842129928245,0.03713441218216818,0,0,0,0.08493161883828645,0,0.0505237072375563,0,0.004155910989920013,0.13500653521361625,0.37492136054189135,0,0,0,0.520173256677805,0.8680086069157428
TCGA-HT-A615,0,0.20066859062548015,0.17181437346990197,0,0.014452495253507766,0,0.0381027691256993,0.011069618661437035,0.047907511509545406,0.0017769453065360704,0,0,0.04713472811201253,0,0.02702474825825561,0,0.0008,0.13122299107016328,0.3080262881848944,0,0,0.01,0.47194034564786475,0.9079527030976549
TCGA-HT-A616,0.07822155157973411,0,0.13361741835311863,0,0.05210412023166902,0,0.15521636258685073,0.020178419399827306,0.003767488502242076,0,0,0,0,0,0.12686055701857668,0,0,0.1696639313402187,0.23395693908501453,0,0.026413211902748163,0,0.5550067452760776,0.8326578647467447
TCGA-HT-A617,0.07509186300979208,0.06253745362065595,0.380804329033886,0,0.04444726445253133,0,0.10310961939769116,0.02789919752238178,0.001964274861477717,0.02231751498033788,0,0,0.03696030465910984,0,0,0.0490768629473002,0,0.014045396816508994,0.18174591869832712,0,0,0,0.6602515129498422,0.7625494562743191
TCGA-HT-A618,0,0.05684713952819704,0.1279991070741063,0.03723556723636898,0.05041088668613067,0,0.06495962736446408,0.04126262391869037,0.11245180683637698,0,0,0,0.09224348383312839,0,0.02565515760717677,0.008241899510314513,0,0.11172646909583994,0.27096623130920594,0,0,0,0.5699998896009141,0.8192371905235831
TCGA-HT-A619,0.09270727748870138,0.047119399474298565,0,0,0.03250858561688266,0,0.05810262981222295,0.07296635312163906,0.03394524810647006,0,0,0,0.05870068803717998,0,0.08777526979016585,0,0.0922753833238782,0.1549877634479084,0.2689114017806528,0,0,0,0.48668828282664595,0.8959262899451558
TCGA-HT-A61A,0,0.1411688794441264,0.26326351750944593,0,0.0663451269710156,0,0.10106920350088253,0,0.005541052109550345,0.006108666342935687,0,0,0.03840934926562863,0.0013219227126978414,0,0,0.07663920275502088,0,0.20518107462762575,0.0692578422801392,0.025694162480931128,0.01,0.41644946725028353,0.9261291292244351
TCGA-HT-A61B,0,0.13743571517872877,0.0657086292924729,0,0.03727318911788545,0,0.03902105554519979,0.029180851129718143,0.06565237516959008,0,0,0,0.13132114756058122,0,0.058318121182195766,0,0,0.12913859039145453,0.30695032543217343,0,0,0,0.590049076845188,0.810262986367631
TCGA-HT-A61C,0.051905502549428176,0.04544633443602715,0,0,0.09153594729043356,0,0.023712731823513262,0.08569011548345246,0.02967853832280534,0.00728869204883713,0,0.008542672677149516,0.04756246204052975,0,0.14912792405434908,0,0.020046914055929746,0.14007799894860182,0.29938416626894293,0,0,0.01,0.38499884862564576,0.964530685981248
TCGA-HT-A74H,0.03058655337740154,0.0980927541467486,0.12773282531242064,0,0.05568777611205807,0,0.13913372522440792,0.040169576731171094,0.06614364011644813,0,0.004965565638500108,0,0.048404836807594824,0,0.04384133895639974,0,0.013448874709036943,0.06693349518404088,0.2648590376837714,0,0,0,0.538559894933248,0.8416997565150286
TCGA-HT-A74J,0,0.05639318234352596,0.05077413611858138,0,0.009253688251398808,0,0.16032268427647323,0.026278573794950022,0.06229502599589405,0,0,0,0.06362244371409216,0,0.05693418717875818,0,0,0.14257107772303468,0.3715550006032916,0,0,0,0.600307743957549,0.8006701219826982
